timestamp,text
170.44,lights these lights are blinding I can't
172.599,see anybody I just know there are a lot
175.08,of people in this
176.959,room but but they happened to
180.879,have they happen to have the lights in a
183.56,nice angle it's just perfect I can't see
185.519,a person
187.239,here nobody's going to be watching the
189.56,debate on Thursday night right
192.28,nobody will anybody be
194.94,
199.68,watching a friend of mine and a great
202.159,businessman and developer from New York
205.2,and various other places including
207.04,Florida Steve witkoff Steve is here here
210.92,thanks Steve look at that hand you get
213.04,Steve you got to run for
215.12,politics and moms for Liberty co-founder
218.2,Tiffany Justice I love that
221.4,name Tiffany that's the greatest name I
224.04,love it and thank you for your
225.92,endorsement and your help and everything
227.72,moms for just I'll tell you they have
229.4,moms for Liberty have been great have
231.56,been great and Tiffany's been so
233.879,incredible so I appreciate it very much
235.84,Tiffany Justice one of the best names
238.36,I've heard in a long time
240.72,most importantly let me say a special
242.959,thanks to the gigantic Grassroots
245.239,movement of volunteers who will power
247.879,the faith and freedom Coalition and I
251.0,know they're going to be very much
252.28,involved during the election period it
254.64,used to be one day now it's you know two
257.32,months it used to start like election
259.959,day meant election day now it means you
261.919,know two and a half months before the
263.32,election begins it starts but it starts
265.479,actually uh pretty much on September 6th
268.32,that's North Carolina
271.44,Pennsylvania's think of that so
273.4,September 6 and Pennsylvania's uh
276.52,September
277.72,22nd and we have to get out there we
280.32,have to vote we have to make sure
282.28,everything's honest and you keep your
284.0,eyes open you know you're you're the
285.96,police in a way you can be you can
287.68,police your vote a lot of people don't
289.32,know that just make sure that vote
290.96,counts we have to make sure it counts
293.12,because if I knew that there was not
294.96,going to be corruption if I knew that
297.8,everything would be on hble and honest
300.56,as it should be I'd stop campaigning
302.56,right now we have this thing won I would
305.0,immediately stop campaigning I'd go and
309.639,relax I'd call up the big rally we have
312.28,in Philadelphia tonight and say it's not
314.52,necessary don't worry about everyone go
316.24,home and relax no organization does more
319.68,you are truly and I mean this
321.639,indispensable this is a great group of
323.68,people and and you're Warriors in the
325.52,truest sense and you know what we have
326.919,to do because we're not going to have a
328.919,country left if we don't do it it's for
331.12,sure this year you will knock on 10
334.4,million doors reach 18 million Christian
337.16,voters and register 1 million new voters
339.759,across
341.84,"130,000"
348.639,churches and I hope you can put the lock
351.12,boxes in the churches because that's
353.319,what you should be doing you should have
354.72,lock boxes you know these boxes that
356.72,they cheat with so badly uh you should
359.16,put them in in your churches because you
361.44,know the evangelicals and the Christians
363.479,they don't vote as much as they should I
365.639,don't know if you know that you know
368.28,they go to church every Sunday but they
370.039,don't
371.52,vote and we have to make sure they vote
374.12,just this time because all you have to
376.039,do is this time you don't have to worry
377.96,about it because we're going to
378.8,straighten it out very fast just this
380.56,time go vote but you know they have a uh
383.479,it's very interesting the NRA gave me a
386.52,very big endorsement and uh we were
388.96,talking about it
390.199,and gun owners don't vote very much I
392.88,mean I'm saying this is just
394.919,statistically we have to get people that
397.199,own guns have to go and vote you own a
399.96,rifle you want to keep your rifle you
402.0,better go vote because the the Second
404.96,Amendment is under siege and you have to
407.28,vote and who would have known that I
409.12,think it's sort of a protest you're so
410.96,angry about what's happening but this is
412.919,over years gun owners don't vote much
415.8,meaning you know some vote but not
417.879,relatively speaking not that much and uh
420.639,Christians go to church but they don't
422.479,vote that much do you know the power you
424.96,have if you would vote it wouldn't even
427.28,be so you got to get out of vote just
428.919,this time I don't care in four years you
431.479,don't have to vote
433.28,okay in four years don't vote I don't
436.479,care but that time but we'll have it all
438.759,straighten out so it'll be much
440.84,different of course then they'll come in
443.199,again and they'll ruin it we'll have to
444.96,do this all over again then we'll come
446.44,back say you have to go vote working
448.879,side by side we're going to defeat
450.639,crooked Joe Biden we're going to defend
452.72,our values and we're going to make
455.759,America great
459.52,again and this will be the most
461.68,important election in the history of our
463.319,country I believe that I used to say it
465.56,2016 we had a border that was bad but
468.039,the Border was bad but it was like I
469.84,call it peanuts peanuts compared to what
471.759,we have now that was like a great border
473.96,if we had that border now it would be
475.599,like great it was uh it was really bad
479.0,but it was is a just a tiny fraction of
481.24,what it is now now it's the worst it's
483.0,ever been I I would say it's the worst
484.96,border anywhere of any country anywhere
487.0,in the world at any time in less than
488.96,four years Joe Biden has obliterated the
492.52,borders of the United States we don't
494.319,have borders we don't have borders we
496.08,don't have elections that are proper we
499.0,don't have anything and you know what we
500.479,want with elections we want paper
502.8,ballots same day voting voter ID and we
507.599,want to ensure that people are citizens
509.72,little thing a little thing like let's
512.039,make sure you're a citizen right you
515.039,know they're bringing these people in
516.32,they're trying to get these people
517.519,registered to vote they don't speak a
519.12,word of English most of them and they
520.719,come from all over the world that's what
522.76,they're doing I said there was only a
524.959,few things it could could it be they're
526.88,stupid well they're not stupid nobody
529.64,could cheat that well if they were
530.88,stupid they're not stupid then the other
534.32,is they hate our country that could be
536.839,that could be but the third thing is
538.64,they want to register people to vote
540.36,that's I think what they really have in
541.88,mind so we have to be very careful and
544.079,that's where Michael wattley will do the
546.72,job that's where Susie WS who's here
549.2,right now she's fantastic and she'll do
551.2,the job and Lara will do the job Lara
554.2,chump who's
557.399,fantastic she's
559.519,fantastic but crooked Jill wrecked our
561.959,economy with brutal inflation and2
564.12,trillion doll deficits did you hear our
565.92,deficit is going to be $2 trillion doll
567.959,this year two trillion
570.64,his weakness failure and incompetence
572.92,have set the world on fire he is a
575.04,threat to democracy by the way just by
576.8,being so incompetent he's a threat to
578.959,democracy his Marxist Administration is
581.839,pushing radical gender ideology into
584.2,every school and I'm sure this group is
585.839,not particularly happy with that and
588.56,crooked Joe has
590.24,demonstrated an amazing ability to you
593.399,know he's just to demolish the rule of
595.88,law by arresting political opponents
598.839,diss Christians pro-life activists like
601.8,a third world dictator would do it's a
604.519,disgrace what's happened to our country
606.6,in such a short period of time three and
608.44,a half years what's happened to our
610.44,country it's not even believable our one
613.04,chance to save America from these
614.8,leftwing fascists is less than it's now
618.04,four months can you believe it I've been
619.48,saying seven six five it's now we're in
623.0,between four and five months from now
626.12,November 5th going to go down as the
627.839,most important day in the history
629.32,history of our country I'm telling you
631.519,because we're not going to have I hope
632.6,we can get there without ending in a
634.72,world war you know Russia Russia's got
637.8,submarines now very nicely in Cuba you
640.72,know where Cuba is is about two feet
642.279,away from
644.04,Florida no they've got chips there and
647.8,they're talking about you know going
649.8,after Russia in Ukraine and giving them
652.639,authorization to go after Russia you
654.44,know where's this thing going to and
657.12,I've said it I will get that war s if
659.56,there's anything left if there's
661.56,anything left I'll get it Sol as
664.44,President elect before I ever get into
666.56,the White
667.68,House but we need Christian voters to
670.2,turn out in the largest numbers ever to
672.279,tell crooked Joe Biden Joe The
674.639,Apprentice Joe you're fired you're fired
678.2,Joe get out of here Joe you're no good
681.12,you've been the worst president ever you
683.68,fired Joe get
685.21,
687.399,out no worst president in the history of
690.16,our country as you know the radical left
692.959,is trying to shame Christians Silence
695.2,You demoralize you and they want to keep
698.36,you out of politics they don't want you
699.8,to vote that's why you have to vote
701.399,they're counting on you not because if
702.76,you vote no we cannot lose they don't
705.44,want you to
706.72,vote but Christians cannot afford to sit
709.76,on the sidelines if Joe Biden gets back
711.959,in Christianity will not be safe in a
714.44,nation with no borders no laws no
717.0,Freedom no future they're not going to
718.8,be safe you're not going to be safe as a
720.399,person and your religion certainly will
723.079,be I think in tatters you want to know
725.639,the truth I think in tatters you see
727.48,what they're doing and and I don't know
729.519,it's less a little bit less to do with
731.32,this room but we all care what's going
734.199,on with Catholics they are being
736.399,persecuted Catholics what is that all
739.0,about by this guy this guy this man that
742.36,has no idea what the hell is happening
744.72,and by the way I don't believe it is him
746.32,I think it's the people that surround
748.36,him the fascist communist the young very
751.68,smart vicious people because I don't
754.72,think he knows he's alive if you want to
756.12,know the truth
757.519,Okay the reason the radical left will
760.079,always come after religious Believers is
762.199,simple because they know that our
764.519,Allegiance is not to them our Allegiance
766.959,is not to them our Allegiance is to our
769.56,country and our Allegiance is to our
777.519,creator and we do not not answer to the
780.16,bureaucrats in Washington we answer to
783.279,God in heaven you're not even allowed to
784.92,say that anymore today if you say that
787.48,they want to arrest
789.0,you if you say that they want to arrest
792.04,you who likes the Ten Commandments by
793.68,the way going up in the
800.959,schools they think it's such a bad thing
803.24,I said has anyone read thee Thou shalt
806.199,not steal Thou shalt I mean has anybody
809.32,read this incredible stuff it's just
812.6,incredible they don't want it to go up
815.36,it's uh crazy world you know a crazy
818.279,world things who would who would think
820.04,that somebody would want open borders
821.8,where people flood in by the millions
823.56,from all over the world from prisons and
826.079,from mental institutions and a lot of
828.68,terrorists terrorists in record numbers
830.8,nobody said anything like it who would
832.88,think that's good who would think that
834.92,you know like a little thing it's so
836.24,embarrassing even have to say it but I
838.0,say it because it's a big political deal
840.519,who would think that men playing in
843.56,women's sports is okay who would think
846.44,that I I have to say it who would think
849.199,it it's all you know open borders who
851.56,would think it who would think this
852.759,stuff but in my first term I defended
854.639,judeo Christian Heritage like no
856.759,president in the history of our
859.68,country and with your help I will
861.88,continue to fight for our values and our
864.32,civilization for four more years in the
866.399,white house we're going to straighten it
867.48,out we're going to straighten it out
868.759,fast it's going to go fast uh the
871.0,hardest thing to do is we have probably
872.759,close to 20 million people that came in
874.519,from all parts of the world and uh
876.519,they're going to have to be uh gone they
878.56,came in illegally many many people
880.48,coming in from prisons and mental
882.72,institutions they came in I mean from
885.079,you know I say prisons and jails because
886.68,there is a slight difference I say
888.16,mental institutions and insane asylums
890.92,uh because actually there there's more
893.079,than a slight difference right whenever
895.24,I say Silence of the Lamb the fake news
897.759,back there they say oh he's talking
899.199,about he's talking about Silence of the
901.759,lab and I say the late great Hannibal
904.0,Lea oh he likes Hannibal Lea no they're
907.16,crazy when I imitate Joe Biden can't get
909.279,off the stage I walk into a wall
910.88,purposely I look at that wall oh that's
915.0,that's perfect sometimes they don't have
916.44,a wall you're
917.72,freestanding it doesn't but I imitate
920.199,him and I I you know walk into a wall
922.44,and the next day they write Donald Trump
924.8,could not find his way off the stage no
927.44,no so I don't even do it anymore it's
930.12,these are crooked people and yet with
933.319,him they're trying to say that all of
936.24,these horrible blunders that he's made
938.079,over the last week you don't have to go
939.56,back much that that he was improperly
943.12,covered so they say you know in the one
945.8,case he he had a fundraiser and Obama
949.12,could have been more gentle in all
950.839,fairness that's I think that's a dispute
953.16,were in their own party because you know
954.68,Obama could have been a little bit more
955.959,gentle than that so instead of tugging
957.48,him off the stage
961.04,when you think of it right but he made
963.6,it obvious but he made it obvious but
965.88,you see that and then I think 39
969.959,different people had their phones up
971.519,like you people you have your phones up
973.36,if I did something wrong and I had one
975.0,camera then another camera you know
976.519,after you get 39 or so you say I guess
978.8,he I guess he blew it but they said oh
982.399,it was covered so and they you know like
984.04,they changed it and Ai and all the stuff
986.759,they didn't do that they didn't do that
988.639,it was was that was the way it was
990.24,they're all the same but the Press has
992.079,bought into it now oh no he was fine it
995.16,was the coverage was so bad by
997.88,conservative they say by
999.759,conservatives uh when I equated uh two
1002.92,people I I equated them I shouldn't
1005.0,mention the names but I equated Nikki
1009.0,Haley with Nancy palassi I
1013.36,equate they said oh he doesn't
1016.199,understand the no I understand the
1017.519,difference
1019.44,he doesn't understand the difference
1021.0,between Haley and Pelosi no we
1023.24,understand that I understand a lot of
1024.559,differences but anything you do the fake
1026.72,news will take it and turn it but with
1028.36,him they take bad stuff and try to make
1031.4,it look good with us they take genius
1033.48,pure genius and they try and make it
1036.48,look right they try and make it look bad
1038.88,it's the exact opposite so we actually
1041.28,have to work harder I told my kids it
1042.799,would be a lot easier if you were
1043.959,Democrats we have to work very much
1046.24,harder you know we have to run the
1048.24,entire e Coast to win they automatically
1050.64,start with like
1051.84,38% they start with 38% I mean I could
1054.96,go into why and the percentages but I
1057.2,don't want to do that because I think
1058.28,we're going to get a lot of that 38% you
1060.2,want to
1061.88,know like people in unions not to
1064.88,mention it like people in unions because
1066.96,we have tremendous support from the Yota
1068.76,workers tremendous support from the
1070.4,teamsters and tremendous I've heard so
1072.679,many Teamsters Concrete in New York it's
1075.12,all delivered by Teamsters they do a
1076.76,great job but uh we're going to get
1078.52,we're going to have have a lot of Union
1079.64,support so I'm not going to say anything
1081.48,just think of what we've already
1083.84,achieved and we've done things that
1085.559,nobody thought possible together we
1088.039,stood up to the Communist Marxist and
1090.88,fascist to defend religious liberty like
1093.0,no other president has ever
1096.84,done and I have the wounds all over my
1099.679,body if I took this shirt off you'd see
1102.24,a beautiful
1104.48,beautiful person but you'd see wounds
1107.4,all over all over me I've taken a lot of
1110.48,wounds I can tell you more than I
1113.08,suspect any president
1121.28,ever you know in
1124.44,history and I've read I love I love this
1127.4,stuff but in history they say Andrew
1129.919,Jackson was treated the worst president
1132.0,Andrew he was a great General and a very
1133.76,good president and Abraham Lincoln was
1136.4,second worst now he had a civil war so
1138.08,you know you saw I think that was
1140.559,understood and now they're rewriting the
1143.08,books Trump was trated at the worst
1145.32,Andrew Jackson second and Abraham
1147.799,Lincoln third but I definitely took top
1149.72,spot I took
1151.039,stop and I'm honored to do it and here
1153.48,we are looking for more how about that I
1155.28,could right now be home I wouldn't be in
1157.88,court I wouldn't be in courts all over
1160.32,the land all started by crooked Joe
1163.2,Biden and his group of thugs we restored
1166.559,the conscious wrs and all of the things
1170.76,that we've done for doctors nurses
1173.28,teachers and Faith groups like The
1176.08,Little Sisters of the Poor we came to
1178.28,their defense I stopped the IRS from
1180.48,using the Johnson amendment to interfere
1182.96,with pastors freedom of speech and all
1185.0,religious leaders Pastor not only
1189.88,pastors and Joe Biden took it right away
1192.72,and I will give it right back we're
1194.24,going to give it right back you know a
1195.6,long time
1196.88,ago I learned about Johnson Amendment a
1199.799,long time ago they basically taken away
1201.6,your rights you're not allowed if you're
1203.08,a minister a pastor or other religious
1207.039,leader a rabbi if you want to say things
1210.28,that are political they take away your
1211.799,tax exemptions and they really destroy
1214.0,you and I put that back and now they've
1216.96,put it back it's like a yo-yo I'm going
1219.52,to put it back immediately first day I'm
1221.36,giving that back because we want to hear
1223.36,from our ministers our pastors and our
1226.28,rabbis and others by the way
1229.159,I issued guidance making clear that the
1231.36,right to freedom of worship does not end
1234.159,at the door to a public school I was the
1236.36,first to and I'm the only President I
1239.48,think to convene a meeting at the United
1242.039,Nations to end religious persecution
1244.919,worldwide the only time it's ever been
1247.039,done because you know what presidents
1249.36,that get elected and then they don't
1250.76,want to get involved we don't want to
1252.48,get involved like what I did for Israel
1254.799,as an example right with
1257.44,Jerusalem and every president for many
1259.919,many presidents said we're going to do
1261.52,that Capital going to make Jerusalem the
1264.08,capital they're going to move the
1265.08,embassy to Jerusalem and nobody did it
1269.159,and I understood why because once I got
1270.919,there I had more pressure put on me from
1273.2,other countries please don't do it
1274.919,please don't do it I did it I did
1277.159,something what many presidents I don't
1279.0,know the number but going back a long
1280.919,time they campaigned on it that it did
1283.6,it I campaigned on it and I did it I I
1287.24,just didn't take thank you very much
1288.88,that's very
1290.52,nice you know what I I didn't take calls
1293.279,for about 4 days I set up the meeting on
1296.48,a Monday and I didn't take calls I was
1299.039,away quote over the
1302.559,we and he'll call you back on Tuesday oh
1306.84,kings queens everybody he'll call you
1309.159,back on Tuesday and we had a press
1311.44,conference on Monday and I announced
1313.76,Jerusalem I announced that we're going
1315.559,to move the embassy and uh Jerusalem
1318.6,comes the capital something and and by
1320.919,the way uh that's a small one compared
1324.4,to what I did I got rid of the Iran
1326.2,nuclear deal unfortunately Biden yeah
1328.64,but Biden did nothing with it and Golan
1332.2,Heights and the Abraham Accords what I
1334.919,did for Israel and and interestingly
1338.72,this group is so unbelievably pro-israel
1342.76,it's amazing actually and I tell you
1347.52,that because in many ways you give it
1349.88,more support than anybody you give more
1351.919,support to Israel than anybody so a lot
1354.279,of people really appreciate
1357.279,that thank you very
1359.52,much I can use that I can use that
1364.12,love thank you who is a woman she
1366.72,sounded so nice stand up oh thank you
1370.159,thank
1373.0,you it's very nice and you have a
1376.24,beautiful voice too thank you when I
1378.919,return to the White House I will once
1380.64,again aggressively defend religious
1382.52,freedom in all of its forms it's many
1384.799,forms but we will defend it in every
1387.84,single one of its forms we will protect
1390.08,Christians in our schools in our
1391.76,military in our government and our
1393.72,workplaces in our hospitals and in our
1397.039,Public
1398.679,Square in my next term I will once again
1401.52,appoint a rock solid conservative and we
1404.159,we are putting in you know we put in
1405.6,almost 300 judges and three Supreme
1408.72,Court Justices to interpret the law and
1411.96,the Constitution as
1414.12,written it was being interpreted
1416.48,slightly different than that as you
1417.84,probably noticed in my first four years
1419.799,we totally transformed the federal bench
1422.6,and putting in all of these judges and
1424.64,nobody's ever seen anything like it
1426.6,actually a record Pro Constitution
1429.08,judges I with stod vicious attacks to
1432.039,pick and confirm three great Supreme
1434.48,Court Justices Neil Gorsuch Brett
1436.84,kavanau and Amy Cony be
1440.12,good people
1443.679,too I took a lot of heat I took a lot of
1447.4,heat a lot of hits but we did the right
1449.919,thing they're great people thanks to
1452.32,these justices we have also achieved
1454.799,what the pro-life movement fought to get
1456.72,for 49 years and we've gotten abortion
1460.44,out of the federal government and back
1462.4,to the
1463.279,state the way everybody and all legal
1466.159,Scholars always said it should be
1470.72,nobody thought that would happen that's
1473.0,why they wanted it the whole thing was
1475.12,they wanted the RO way was Federal and
1477.559,they wanted it all back in the States
1479.2,where the people could vote and make
1481.6,their decisions it's now up to the will
1483.52,of the people in each state some states
1485.919,will be more conservative other states
1487.76,will be more liberal it's happening now
1489.679,you see the votes are all taking place
1492.279,and it's the way every legal scholar and
1494.88,just about all the Democrats and all the
1497.24,Republicans and conservatives and
1499.0,liberals they all wanted it that way and
1500.76,we did something that was amazing the
1503.399,big problem was it was caught up in the
1505.159,federal government but the people will
1506.72,decide and that's the way it should be
1509.08,the people are now deciding and some
1511.0,states are a little bit more
1512.96,conservative and some states are much
1515.159,more liberal if the radical Democratic
1517.88,streams get their way they will have a
1520.559,federal law for abortion to rip the baby
1523.96,out of the womb in the seventh 8th and
1525.88,9th month and even execute the baby
1528.88,after birth they have that you know that
1530.919,the
1532.2,governor the governor think of it the
1534.84,governor of Virginia previous governor
1537.24,we have a great governor of Virginia
1538.799,right now but Glenn yunan is doing a
1542.399,great job but the previous governor of
1545.64,Virginia you don't want to make that
1547.12,very clear because he's doing great the
1549.64,previous was not so good but he actually
1552.279,made that St and we'll put the baby down
1554.279,after the babies we'll put that and you
1556.12,you'll decide what to do and there
1558.48,states that allow that they're the
1560.6,radical ones on this issue Far and Away
1563.0,the radical ones not us every voter has
1565.88,to go with your heart and do what's
1568.12,right but we also have to get elected
1570.279,because we have a lot of other things we
1571.679,have to get elected you have to be able
1573.159,to win like Ronald reag and I believe in
1575.159,exceptions for the life of the mother
1577.32,rape and incest some people do I think
1580.919,most people do actually but some people
1583.039,don't you have to go with your heart but
1584.76,you have to also remember you have to
1585.919,get elected I want to thank the six
1588.32,Supreme Court Justices Clarence Thomas
1590.44,Samuel Halo John Roberts Brett kaver
1593.679,Neil Gorsuch and Amy Cony Barrett for
1596.559,the wisdom and the courage they showed
1598.32,on this long-term very contentious issue
1601.44,this has been a long time it's been
1605.6,fought getting it back to the States
1608.08,puts the question where it belongs with
1609.96,the vote of the people and over time it
1612.399,will all work out it's working out right
1614.36,now but it's all going to work out and
1616.48,it's where everybody wanted it including
1618.32,the legal Scholars but it's where
1619.84,everybody wanted it to be and it's taken
1622.84,actually they say 49 but it's probably
1625.2,51 years it's taken to get this done
1628.96,above all in the Republican party we
1631.24,will always support families babies life
1635.08,and uh very very important to the
1637.24,Republican
1642.64,Party by contrast Joe Biden is
1645.48,weaponizing the justice department to
1647.6,viciously persecute pro-life activists
1650.039,and Americans of Faith just last month
1652.6,the Biden doj got Paula harlo a
1655.6,75-year-old woman in poor health
1658.0,sentenced to two years in prison for
1661.2,singing outside of a CL she was singing
1664.519,actually a beautiful voice she was
1666.279,singing beautifully outside of a clinic
1670.88,and fearing she would die in prison her
1672.96,husband pleaded with the judge for mercy
1675.0,and even asked to be thrown in prison
1677.12,with his wife and the judge judge
1678.84,responded by mocking their religion he
1680.96,was mocking their religion I wonder who
1682.72,that judge is Paul is one of many
1684.519,peaceful pro-lifers who Joe Biden has
1687.08,rounded up sometimes with SWAT teams and
1689.96,thrown them in jail many people are in
1691.48,jail over this this is just crazy we're
1693.44,going to get that taking care of
1695.159,immediately first day
1701.72,immediately but let's call these Brave
1704.08,Americans what they really are it's
1705.88,persecuted Christians that's what they
1707.64,are they're
1709.84,persecuted because these people are
1711.799,really the threat to democracy you know
1713.399,they have a whole thing about Donald
1714.72,Trump is the threat to democracy I'm the
1717.44,one that got us out of the wars I'm the
1719.08,one that defeated Isis and got us out of
1721.159,all these
1722.159,wars you
1725.32,know I'm the one that had the safest
1727.679,Border in the history of our country and
1729.519,now it's death and you know when you
1731.88,talk about the bad border you don't
1733.2,realize how many people are dying on the
1734.88,Caravans coming up they're dying because
1737.36,they're told you know come on up and
1739.44,we're going to give you education we're
1740.799,going to give you healthare they're
1741.96,destroying your Social
1743.559,Security your Social Security and your
1746.96,Medicare is being destroyed because
1749.36,millions of people are coming up and
1751.32,you're not going to have it something's
1752.519,going to have to happen because they are
1754.44,destroying Joe Biden is destroying your
1756.399,Social Security and many other things to
1758.64,reverse these monstrous abuses of power
1761.519,the moment I win election and we're
1763.2,going to win we got to win if we don't
1764.919,win we don't have a country we don't
1766.84,have a country you know I used to say it
1769.519,in 2016 and I meant it we were you know
1771.799,I thought that was the most important
1773.039,election in 2020 I didn't say it by the
1775.6,way we got many millions of votes more
1777.679,in 2020 than we did in 2016 we got
1780.84,millions and millions of usot a rigged
1784.08,election but we got millions of votes
1786.48,more I was told if you got the same
1787.88,number 63 million that you win we got
1790.72,millions and millions and that's by
1792.36,their
1793.12,count and it was a terrible thing and
1795.88,look at what's happened to our country
1797.36,and three and a half half years it's not
1798.919,even it's not even the same place it's
1801.2,not the same place I always say We're a
1803.559,nation in Decline We're a nation in
1805.76,really serious serious decline but we
1808.48,will rapidly review the cases of every
1810.679,political prisoner who's unjustly
1812.76,victimized by the Biden regime including
1816.24,Paula so we can get them out of the
1818.679,gulags and back to their families where
1821.559,they belong Paula just hold on Paula
1825.08,we're going to get you out of there can
1827.039,you imagine this is is a good woman is a
1829.279,religious woman and they throw her in
1831.24,jail I will also create a new federal
1833.919,task force on fighting anti-christian
1836.2,bias its Mission will be to investigate
1838.919,all forms of illegal
1840.76,discrimination harassment persecution
1843.279,against Christians in America and it's
1845.919,taking place at a level that nobody can
1848.159,believe we're like a country from a
1850.519,different country we're like this isn't
1853.08,this is not America anymore that we're
1854.96,living in these people are nasty they're
1857.559,bad they're bad but you know what we're
1860.039,tougher than they are we're tougher than
1861.639,they are but we have to we have to be
1863.84,smart we have to vote we have to get out
1866.519,and vote you cannot sit home this one
1868.679,day you have to get out and vote never
1870.919,again will the federal government be
1872.559,used to Target religious Believers
1874.519,Americans of Americans of faith and and
1877.519,that's all it is it's Americans of Faith
1880.639,are not a threat to our country
1882.88,Americans of Faith are the soul of our
1885.0,country one of the reasons we have so
1886.679,much crime
1888.96,one of the reasons we have so much crime
1891.0,is you don't have the faith you know you
1892.639,don't have people wanting to be good
1895.399,because they want to go to that special
1897.32,place they want to be good there's no
1899.12,reason it's like religion is it's going
1901.72,down at a level that nobody's seen
1904.0,before nobody's seen anything like it
1906.72,and it's really having an a tremendous
1909.72,effect long beyond our churches and our
1914.519,synagogues and our mosques it's long
1917.519,Beyond it's beyond everything religion
1921.039,is becoming less and less of a factor
1923.76,less and less important in our country
1926.519,and that's causing a lot of the chaos
1928.639,and a lot of the crime that you see if
1931.44,if they were grown up with religion they
1933.639,wouldn't be doing the things that
1935.799,they're doing because they're doing
1937.24,really bad bad things and we're going to
1939.24,get it stopped the weaponization of law
1941.2,enforcement is the greatest threat to
1943.76,freedom in America today I think and
1946.84,nobody knows it better than me look at
1948.88,the way I've been weaponized I mean
1950.519,they've weaponized me at a level that
1953.36,the late great Al Capone right he's
1956.36,a I tell it all the time Scarface he he
1959.76,didn't go through what I went through of
1961.24,course they were afraid to do it they
1963.919,were afraid to do it they said let's
1965.559,leave him alone wait he would take that
1968.96,gentleman that handsome gentleman right
1970.76,there you'd have to dinner if Al if
1972.84,alons Capone didn't like him your family
1975.679,would never see you again sir they'd say
1977.519,what happened happened to him he's a
1978.88,part of a foundation under a nice
1980.6,highrise that's going up
1983.639,someplace I got indicted more than him
1987.679,sir for nothing for no crimes even the
1992.36,scholars all of the scholars they said
1994.72,well there is no crime here there's no
1996.919,crime it's it's a terrible thing these
1999.12,are sick people these are horrible
2001.36,people remember this the reason Joe
2003.639,Biden and his thugs are so desperate to
2005.84,stop us is that they know we the only
2008.32,ones who can stop them and that's true
2011.0,all of their
2012.48,persecution is only happening because I
2015.08,am running for president and leading
2017.76,very big in the
2019.84,polls but since the show trial in New
2023.279,York that horrible horrible trial so
2025.84,many corrupt things happened in that
2027.919,trial and I think they're seeing it the
2030.08,people are seeing it because we have the
2031.559,strongest poll numbers we've ever had
2033.279,and I mean that goes back a long time
2035.76,now and uh the po the fundraising is at
2040.039,levels that I don't think anybody has
2041.96,ever seen before so there's a lot of
2044.36,great a lot of great things and I don't
2046.96,know if you saw last night in the new
2049.599,Ras mus poll we're leading Biden by
2052.52,numbers that uh people haven't led by
2055.2,before Biden is 10 points down National
2058.359,that's nationally and we're doing even
2060.399,better in the swing
2063.44,States the radical left Democrats rigged
2066.28,the presidential election in 2020 and
2068.679,we're not going to allow them to rig the
2071.879,presidential election in 2024 we're not
2075.2,going to allow
2079.079,it and every time the radical left
2081.919,Democrats marxists Communists and
2084.359,fascists and that's exactly what they
2086.32,are they're fascists indict me I
2089.04,consider it a great badge of
2092.48,honor because I'm being indicted for you
2095.24,thank you very much everybody I
2096.599,appreciate
2101.24,but I am I'm being indicted for you
2103.2,never forget our enemies want to take
2105.32,away my freedom because I will never let
