id,timestamp,duration,context,current_text
qqG96G8YdcE_77000,77.0,4.96,home former president Trump will be on the left side of the screen President Biden will be appearing on the right a coin toss determined their positions each candidate will have two minutes to,Biden will be appearing on the right a
qqG96G8YdcE_79000,79.0,4.84,the left side of the screen President Biden will be appearing on the right a coin toss determined their positions each candidate will have two minutes to answer a question and one minute each,coin toss determined their positions
qqG96G8YdcE_81960,81.96,4.36,Biden will be appearing on the right a coin toss determined their positions each candidate will have two minutes to answer a question and one minute each for responses and rebuttal an additional,each candidate will have two minutes to
qqG96G8YdcE_83840,83.84,5.48,coin toss determined their positions each candidate will have two minutes to answer a question and one minute each for responses and rebuttal an additional minute for follow-up clarification or,answer a question and one minute each
qqG96G8YdcE_86320,86.32,5.119,each candidate will have two minutes to answer a question and one minute each for responses and rebuttal an additional minute for follow-up clarification or response is at the moderator's,for responses and rebuttal an additional
qqG96G8YdcE_89320,89.32,4.72,answer a question and one minute each for responses and rebuttal an additional minute for follow-up clarification or response is at the moderator's discretion when it's time for a,minute for follow-up clarification or
qqG96G8YdcE_91439,91.439,4.601,for responses and rebuttal an additional minute for follow-up clarification or response is at the moderator's discretion when it's time for a candidate to speak his microphone will,response is at the moderator's
qqG96G8YdcE_94040,94.04,4.24,minute for follow-up clarification or response is at the moderator's discretion when it's time for a candidate to speak his microphone will be turned on and his opponent's,discretion when it's time for a
qqG96G8YdcE_96040,96.04,4.32,response is at the moderator's discretion when it's time for a candidate to speak his microphone will be turned on and his opponent's microphone will be turned off should a,candidate to speak his microphone will
qqG96G8YdcE_98280,98.28,4.64,discretion when it's time for a candidate to speak his microphone will be turned on and his opponent's microphone will be turned off should a candidate interrupt when his microphone,be turned on and his opponent's
qqG96G8YdcE_100360,100.36,4.56,candidate to speak his microphone will be turned on and his opponent's microphone will be turned off should a candidate interrupt when his microphone is muted he will be difficult to,microphone will be turned off should a
qqG96G8YdcE_102920,102.92,4.479,be turned on and his opponent's microphone will be turned off should a candidate interrupt when his microphone is muted he will be difficult to understand for viewers at home at the,candidate interrupt when his microphone
qqG96G8YdcE_104920,104.92,4.96,microphone will be turned off should a candidate interrupt when his microphone is muted he will be difficult to understand for viewers at home at the end of the debate each candidate will,is muted he will be difficult to
qqG96G8YdcE_107399,107.399,4.241,candidate interrupt when his microphone is muted he will be difficult to understand for viewers at home at the end of the debate each candidate will get two minutes for closing statements,understand for viewers at home at the
qqG96G8YdcE_109880,109.88,4.32,is muted he will be difficult to understand for viewers at home at the end of the debate each candidate will get two minutes for closing statements there is no studio audience tonight,end of the debate each candidate will
qqG96G8YdcE_111640,111.64,4.92,understand for viewers at home at the end of the debate each candidate will get two minutes for closing statements there is no studio audience tonight pre-written notes props or contact with,get two minutes for closing statements
qqG96G8YdcE_114200,114.2,5.16,end of the debate each candidate will get two minutes for closing statements there is no studio audience tonight pre-written notes props or contact with campaign staff are not permitted during,there is no studio audience tonight
qqG96G8YdcE_116560,116.56,4.76,get two minutes for closing statements there is no studio audience tonight pre-written notes props or contact with campaign staff are not permitted during the debate by accepting our invitation,pre-written notes props or contact with
qqG96G8YdcE_119360,119.36,4.6,there is no studio audience tonight pre-written notes props or contact with campaign staff are not permitted during the debate by accepting our invitation to debate both candidates and their,campaign staff are not permitted during
qqG96G8YdcE_121320,121.32,4.6,pre-written notes props or contact with campaign staff are not permitted during the debate by accepting our invitation to debate both candidates and their campaigns agreed to accept these rules,the debate by accepting our invitation
qqG96G8YdcE_123960,123.96,5.76,campaign staff are not permitted during the debate by accepting our invitation to debate both candidates and their campaigns agreed to accept these rules now please welcome the 46th president of,to debate both candidates and their
qqG96G8YdcE_125920,125.92,6.56,the debate by accepting our invitation to debate both candidates and their campaigns agreed to accept these rules now please welcome the 46th president of the United States Joe,campaigns agreed to accept these rules
qqG96G8YdcE_129720,129.72,5.879,to debate both candidates and their campaigns agreed to accept these rules now please welcome the 46th president of the United States Joe Biden great to be here thank,now please welcome the 46th president of
qqG96G8YdcE_132480,132.48,3.119,campaigns agreed to accept these rules now please welcome the 46th president of the United States Joe Biden great to be here thank you and please welcome the 45th,the United States Joe
qqG96G8YdcE_141840,141.84,6.52,now please welcome the 46th president of the United States Joe Biden great to be here thank you and please welcome the 45th president of the United States Donald,Biden great to be here thank
qqG96G8YdcE_145640,145.64,7.0,the United States Joe Biden great to be here thank you and please welcome the 45th president of the United States Donald [Music],you and please welcome the 45th
qqG96G8YdcE_148360,148.36,4.28,Biden great to be here thank you and please welcome the 45th president of the United States Donald [Music] Trump gentlemen thanks so much for being,president of the United States Donald
qqG96G8YdcE_153010,153.01,3.43,you and please welcome the 45th president of the United States Donald [Music] Trump gentlemen thanks so much for being here let's begin the debate and let's,[Music]
qqG96G8YdcE_161280,161.28,3.92,president of the United States Donald [Music] Trump gentlemen thanks so much for being here let's begin the debate and let's start with the issue that voters,Trump gentlemen thanks so much for being
qqG96G8YdcE_163640,163.64,3.04,[Music] Trump gentlemen thanks so much for being here let's begin the debate and let's start with the issue that voters consistently say is their top concern,here let's begin the debate and let's
qqG96G8YdcE_165200,165.2,4.72,Trump gentlemen thanks so much for being here let's begin the debate and let's start with the issue that voters consistently say is their top concern the economy President Biden inflation,start with the issue that voters
qqG96G8YdcE_166680,166.68,6.08,here let's begin the debate and let's start with the issue that voters consistently say is their top concern the economy President Biden inflation has slowed but prices remain high since,consistently say is their top concern
qqG96G8YdcE_169920,169.92,6.039,start with the issue that voters consistently say is their top concern the economy President Biden inflation has slowed but prices remain high since you took office the price of Essentials,the economy President Biden inflation
qqG96G8YdcE_172760,172.76,5.16,consistently say is their top concern the economy President Biden inflation has slowed but prices remain high since you took office the price of Essentials has increased for example basket of,has slowed but prices remain high since
qqG96G8YdcE_175959,175.959,4.441,the economy President Biden inflation has slowed but prices remain high since you took office the price of Essentials has increased for example basket of groceries that cost $100 then now costs,you took office the price of Essentials
qqG96G8YdcE_177920,177.92,5.72,has slowed but prices remain high since you took office the price of Essentials has increased for example basket of groceries that cost $100 then now costs more than,has increased for example basket of
qqG96G8YdcE_180400,180.4,4.24,you took office the price of Essentials has increased for example basket of groceries that cost $100 then now costs more than $120 and typical home prices have jumped,groceries that cost $100 then now costs
qqG96G8YdcE_183640,183.64,3.8,has increased for example basket of groceries that cost $100 then now costs more than $120 and typical home prices have jumped more than 30% what do you say to voters,more than
qqG96G8YdcE_184640,184.64,5.44,groceries that cost $100 then now costs more than $120 and typical home prices have jumped more than 30% what do you say to voters who feel they are worse off under your,$120 and typical home prices have jumped
qqG96G8YdcE_187440,187.44,4.879,more than $120 and typical home prices have jumped more than 30% what do you say to voters who feel they are worse off under your presidency than they were under,more than 30% what do you say to voters
qqG96G8YdcE_190080,190.08,3.76,$120 and typical home prices have jumped more than 30% what do you say to voters who feel they are worse off under your presidency than they were under President Trump we got to take a look at,who feel they are worse off under your
qqG96G8YdcE_192319,192.319,3.48,more than 30% what do you say to voters who feel they are worse off under your presidency than they were under President Trump we got to take a look at what I was left when I became president,presidency than they were under
qqG96G8YdcE_193840,193.84,4.2,who feel they are worse off under your presidency than they were under President Trump we got to take a look at what I was left when I became president what Mr Trump left me we had an economy,President Trump we got to take a look at
qqG96G8YdcE_195799,195.799,4.921,presidency than they were under President Trump we got to take a look at what I was left when I became president what Mr Trump left me we had an economy that was in freefall the pandemic was so,what I was left when I became president
qqG96G8YdcE_198040,198.04,5.08,President Trump we got to take a look at what I was left when I became president what Mr Trump left me we had an economy that was in freefall the pandemic was so badly handled many people were dying all,what Mr Trump left me we had an economy
qqG96G8YdcE_200720,200.72,5.0,what I was left when I became president what Mr Trump left me we had an economy that was in freefall the pandemic was so badly handled many people were dying all he said was it's not that serious just,that was in freefall the pandemic was so
qqG96G8YdcE_203120,203.12,4.6,what Mr Trump left me we had an economy that was in freefall the pandemic was so badly handled many people were dying all he said was it's not that serious just inject a little bleach into your arm,badly handled many people were dying all
qqG96G8YdcE_205720,205.72,3.68,that was in freefall the pandemic was so badly handled many people were dying all he said was it's not that serious just inject a little bleach into your arm you'll be all right the economy,he said was it's not that serious just
qqG96G8YdcE_207720,207.72,3.48,badly handled many people were dying all he said was it's not that serious just inject a little bleach into your arm you'll be all right the economy collapsed there were no jobs,inject a little bleach into your arm
qqG96G8YdcE_209400,209.4,4.039,he said was it's not that serious just inject a little bleach into your arm you'll be all right the economy collapsed there were no jobs unemployment rate Rose to 15% it was,you'll be all right the economy
qqG96G8YdcE_211200,211.2,5.08,inject a little bleach into your arm you'll be all right the economy collapsed there were no jobs unemployment rate Rose to 15% it was terrible and so what we had to do is try,collapsed there were no jobs
qqG96G8YdcE_213439,213.439,4.921,you'll be all right the economy collapsed there were no jobs unemployment rate Rose to 15% it was terrible and so what we had to do is try to put things back together again that's,unemployment rate Rose to 15% it was
qqG96G8YdcE_216280,216.28,4.2,collapsed there were no jobs unemployment rate Rose to 15% it was terrible and so what we had to do is try to put things back together again that's exactly what we began to do we created,terrible and so what we had to do is try
qqG96G8YdcE_218360,218.36,4.439,"unemployment rate Rose to 15% it was terrible and so what we had to do is try to put things back together again that's exactly what we began to do we created 15,000 new jobs we brought out position",to put things back together again that's
qqG96G8YdcE_220480,220.48,6.0,"terrible and so what we had to do is try to put things back together again that's exactly what we began to do we created 15,000 new jobs we brought out position where we have 800,000 new manufacturing",exactly what we began to do we created
qqG96G8YdcE_222799,222.799,6.08,"to put things back together again that's exactly what we began to do we created 15,000 new jobs we brought out position where we have 800,000 new manufacturing jobs but there's more to be done there's","15,000 new jobs we brought out position"
qqG96G8YdcE_226480,226.48,4.64,"exactly what we began to do we created 15,000 new jobs we brought out position where we have 800,000 new manufacturing jobs but there's more to be done there's more to be done workingclass people are","where we have 800,000 new manufacturing"
qqG96G8YdcE_228879,228.879,3.961,"15,000 new jobs we brought out position where we have 800,000 new manufacturing jobs but there's more to be done there's more to be done workingclass people are still in trouble I come from Scranton",jobs but there's more to be done there's
qqG96G8YdcE_231120,231.12,3.839,"where we have 800,000 new manufacturing jobs but there's more to be done there's more to be done workingclass people are still in trouble I come from Scranton Pennsylvania I come of household where",more to be done workingclass people are
qqG96G8YdcE_232840,232.84,4.2,jobs but there's more to be done there's more to be done workingclass people are still in trouble I come from Scranton Pennsylvania I come of household where the kitchen table if the things weren't,still in trouble I come from Scranton
qqG96G8YdcE_234959,234.959,3.84,more to be done workingclass people are still in trouble I come from Scranton Pennsylvania I come of household where the kitchen table if the things weren't able to be met during the mon was a a,Pennsylvania I come of household where
qqG96G8YdcE_237040,237.04,3.52,still in trouble I come from Scranton Pennsylvania I come of household where the kitchen table if the things weren't able to be met during the mon was a a problem price of eggs the price of gas,the kitchen table if the things weren't
qqG96G8YdcE_238799,238.799,3.881,Pennsylvania I come of household where the kitchen table if the things weren't able to be met during the mon was a a problem price of eggs the price of gas the price of housing the price of a,able to be met during the mon was a a
qqG96G8YdcE_240560,240.56,3.759,the kitchen table if the things weren't able to be met during the mon was a a problem price of eggs the price of gas the price of housing the price of a whole range of things that's why I'm,problem price of eggs the price of gas
qqG96G8YdcE_242680,242.68,3.199,able to be met during the mon was a a problem price of eggs the price of gas the price of housing the price of a whole range of things that's why I'm working so hard to make sure I deal with,the price of housing the price of a
qqG96G8YdcE_244319,244.319,3.92,problem price of eggs the price of gas the price of housing the price of a whole range of things that's why I'm working so hard to make sure I deal with those problems and we're going to make,whole range of things that's why I'm
qqG96G8YdcE_245879,245.879,4.0,the price of housing the price of a whole range of things that's why I'm working so hard to make sure I deal with those problems and we're going to make sure that we reduce the price of housing,working so hard to make sure I deal with
qqG96G8YdcE_248239,248.239,4.0,whole range of things that's why I'm working so hard to make sure I deal with those problems and we're going to make sure that we reduce the price of housing we're going to make sure we build two,those problems and we're going to make
qqG96G8YdcE_249879,249.879,4.161,working so hard to make sure I deal with those problems and we're going to make sure that we reduce the price of housing we're going to make sure we build two two million new units we're going to,sure that we reduce the price of housing
qqG96G8YdcE_252239,252.239,3.401,those problems and we're going to make sure that we reduce the price of housing we're going to make sure we build two two million new units we're going to make sure we cap rents so corporate,we're going to make sure we build two
qqG96G8YdcE_254040,254.04,3.56,sure that we reduce the price of housing we're going to make sure we build two two million new units we're going to make sure we cap rents so corporate greed can't take over the combination,two million new units we're going to
qqG96G8YdcE_255640,255.64,3.999,we're going to make sure we build two two million new units we're going to make sure we cap rents so corporate greed can't take over the combination but of was left with in corporate greed,make sure we cap rents so corporate
qqG96G8YdcE_257600,257.6,3.44,two million new units we're going to make sure we cap rents so corporate greed can't take over the combination but of was left with in corporate greed is the reason why we're in this problem,greed can't take over the combination
qqG96G8YdcE_259639,259.639,2.84,make sure we cap rents so corporate greed can't take over the combination but of was left with in corporate greed is the reason why we're in this problem right now in addition to that we're in a,but of was left with in corporate greed
qqG96G8YdcE_261040,261.04,3.92,greed can't take over the combination but of was left with in corporate greed is the reason why we're in this problem right now in addition to that we're in a situation where if you had take a look,is the reason why we're in this problem
qqG96G8YdcE_262479,262.479,4.72,but of was left with in corporate greed is the reason why we're in this problem right now in addition to that we're in a situation where if you had take a look at all that was done in his,right now in addition to that we're in a
qqG96G8YdcE_264960,264.96,3.56,is the reason why we're in this problem right now in addition to that we're in a situation where if you had take a look at all that was done in his administration he he didn't do much at,situation where if you had take a look
qqG96G8YdcE_267199,267.199,3.641,right now in addition to that we're in a situation where if you had take a look at all that was done in his administration he he didn't do much at all by the time he left there things,at all that was done in his
qqG96G8YdcE_268520,268.52,4.28,situation where if you had take a look at all that was done in his administration he he didn't do much at all by the time he left there things were in chaos literally chaos and so we,administration he he didn't do much at
qqG96G8YdcE_270840,270.84,5.44,at all that was done in his administration he he didn't do much at all by the time he left there things were in chaos literally chaos and so we put things back together we created I,all by the time he left there things
qqG96G8YdcE_272800,272.8,5.0,administration he he didn't do much at all by the time he left there things were in chaos literally chaos and so we put things back together we created I said those jobs we make sure we had a,were in chaos literally chaos and so we
qqG96G8YdcE_276280,276.28,3.44,all by the time he left there things were in chaos literally chaos and so we put things back together we created I said those jobs we make sure we had a situation where we now we brought down,put things back together we created I
qqG96G8YdcE_277800,277.8,4.72,were in chaos literally chaos and so we put things back together we created I said those jobs we make sure we had a situation where we now we brought down the price of prescription drugs which is,said those jobs we make sure we had a
qqG96G8YdcE_279720,279.72,4.4,put things back together we created I said those jobs we make sure we had a situation where we now we brought down the price of prescription drugs which is a major issue for many people to $15 for,situation where we now we brought down
qqG96G8YdcE_282520,282.52,5.16,said those jobs we make sure we had a situation where we now we brought down the price of prescription drugs which is a major issue for many people to $15 for for uh a insulin shot as opposed to $400,the price of prescription drugs which is
qqG96G8YdcE_284120,284.12,7.56,situation where we now we brought down the price of prescription drugs which is a major issue for many people to $15 for for uh a insulin shot as opposed to $400 no senior has to pay more than $200 for,a major issue for many people to $15 for
qqG96G8YdcE_287680,287.68,6.84,the price of prescription drugs which is a major issue for many people to $15 for for uh a insulin shot as opposed to $400 no senior has to pay more than $200 for any drug all the drugs they can include,for uh a insulin shot as opposed to $400
qqG96G8YdcE_291680,291.68,5.12,a major issue for many people to $15 for for uh a insulin shot as opposed to $400 no senior has to pay more than $200 for any drug all the drugs they can include beginning next year in a situation as,no senior has to pay more than $200 for
qqG96G8YdcE_294520,294.52,5.28,for uh a insulin shot as opposed to $400 no senior has to pay more than $200 for any drug all the drugs they can include beginning next year in a situation as make and we're going to make that,any drug all the drugs they can include
qqG96G8YdcE_296800,296.8,3.88,no senior has to pay more than $200 for any drug all the drugs they can include beginning next year in a situation as make and we're going to make that available to everybody to all Americans,beginning next year in a situation as
qqG96G8YdcE_299800,299.8,3.16,any drug all the drugs they can include beginning next year in a situation as make and we're going to make that available to everybody to all Americans so we're working to bring down the price,make and we're going to make that
qqG96G8YdcE_300680,300.68,3.76,beginning next year in a situation as make and we're going to make that available to everybody to all Americans so we're working to bring down the price of around the kitchen table and that's,available to everybody to all Americans
qqG96G8YdcE_302960,302.96,3.32,make and we're going to make that available to everybody to all Americans so we're working to bring down the price of around the kitchen table and that's what we're going to get done thank you,so we're working to bring down the price
qqG96G8YdcE_304440,304.44,4.039,available to everybody to all Americans so we're working to bring down the price of around the kitchen table and that's what we're going to get done thank you president Trump we had the greatest,of around the kitchen table and that's
qqG96G8YdcE_306280,306.28,4.4,so we're working to bring down the price of around the kitchen table and that's what we're going to get done thank you president Trump we had the greatest economy in the history of our country we,what we're going to get done thank you
qqG96G8YdcE_308479,308.479,5.28,of around the kitchen table and that's what we're going to get done thank you president Trump we had the greatest economy in the history of our country we have never done so well every everybody,president Trump we had the greatest
qqG96G8YdcE_310680,310.68,6.32,what we're going to get done thank you president Trump we had the greatest economy in the history of our country we have never done so well every everybody was amazed by it other countries were,economy in the history of our country we
qqG96G8YdcE_313759,313.759,5.081,president Trump we had the greatest economy in the history of our country we have never done so well every everybody was amazed by it other countries were copying us we got hit with covid and,have never done so well every everybody
qqG96G8YdcE_317000,317.0,5.24,economy in the history of our country we have never done so well every everybody was amazed by it other countries were copying us we got hit with covid and when we did we spent the money necessary,was amazed by it other countries were
qqG96G8YdcE_318840,318.84,5.88,have never done so well every everybody was amazed by it other countries were copying us we got hit with covid and when we did we spent the money necessary so we wouldn't end up in a Great,copying us we got hit with covid and
qqG96G8YdcE_322240,322.24,4.079,was amazed by it other countries were copying us we got hit with covid and when we did we spent the money necessary so we wouldn't end up in a Great Depression the likes of which we had in,when we did we spent the money necessary
qqG96G8YdcE_324720,324.72,3.72,copying us we got hit with covid and when we did we spent the money necessary so we wouldn't end up in a Great Depression the likes of which we had in 1929 but by the time we finished so we,so we wouldn't end up in a Great
qqG96G8YdcE_326319,326.319,4.521,when we did we spent the money necessary so we wouldn't end up in a Great Depression the likes of which we had in 1929 but by the time we finished so we did a great job we got a lot of credit,Depression the likes of which we had in
qqG96G8YdcE_328440,328.44,3.84,so we wouldn't end up in a Great Depression the likes of which we had in 1929 but by the time we finished so we did a great job we got a lot of credit for the economy a lot of credit for the,1929 but by the time we finished so we
qqG96G8YdcE_330840,330.84,3.04,Depression the likes of which we had in 1929 but by the time we finished so we did a great job we got a lot of credit for the economy a lot of credit for the military and no Wars and so many other,did a great job we got a lot of credit
qqG96G8YdcE_332280,332.28,4.479,1929 but by the time we finished so we did a great job we got a lot of credit for the economy a lot of credit for the military and no Wars and so many other things everything was rocking good but,for the economy a lot of credit for the
qqG96G8YdcE_333880,333.88,5.159,did a great job we got a lot of credit for the economy a lot of credit for the military and no Wars and so many other things everything was rocking good but the thing we never got the credit for,military and no Wars and so many other
qqG96G8YdcE_336759,336.759,3.88,for the economy a lot of credit for the military and no Wars and so many other things everything was rocking good but the thing we never got the credit for and we should have is getting us out of,things everything was rocking good but
qqG96G8YdcE_339039,339.039,3.401,military and no Wars and so many other things everything was rocking good but the thing we never got the credit for and we should have is getting us out of that covid mess uh he created mandates,the thing we never got the credit for
qqG96G8YdcE_340639,340.639,4.761,things everything was rocking good but the thing we never got the credit for and we should have is getting us out of that covid mess uh he created mandates that was a disaster for our country but,and we should have is getting us out of
qqG96G8YdcE_342440,342.44,5.199,the thing we never got the credit for and we should have is getting us out of that covid mess uh he created mandates that was a disaster for our country but other than that we had we had given them,that covid mess uh he created mandates
qqG96G8YdcE_345400,345.4,4.44,and we should have is getting us out of that covid mess uh he created mandates that was a disaster for our country but other than that we had we had given them back a a country where the stock market,that was a disaster for our country but
qqG96G8YdcE_347639,347.639,5.4,that covid mess uh he created mandates that was a disaster for our country but other than that we had we had given them back a a country where the stock market actually was higher than preco and,other than that we had we had given them
qqG96G8YdcE_349840,349.84,5.359,that was a disaster for our country but other than that we had we had given them back a a country where the stock market actually was higher than preco and nobody thought that was even possible uh,back a a country where the stock market
qqG96G8YdcE_353039,353.039,4.481,other than that we had we had given them back a a country where the stock market actually was higher than preco and nobody thought that was even possible uh the only jobs he created are for illegal,actually was higher than preco and
qqG96G8YdcE_355199,355.199,4.761,back a a country where the stock market actually was higher than preco and nobody thought that was even possible uh the only jobs he created are for illegal immigrants and bounceback jobs a,nobody thought that was even possible uh
qqG96G8YdcE_357520,357.52,4.2,actually was higher than preco and nobody thought that was even possible uh the only jobs he created are for illegal immigrants and bounceback jobs a bounceback from the co he has not done a,the only jobs he created are for illegal
qqG96G8YdcE_359960,359.96,4.28,nobody thought that was even possible uh the only jobs he created are for illegal immigrants and bounceback jobs a bounceback from the co he has not done a good job he's done a poor job in,immigrants and bounceback jobs a
qqG96G8YdcE_361720,361.72,4.0,the only jobs he created are for illegal immigrants and bounceback jobs a bounceback from the co he has not done a good job he's done a poor job in inflation's killing our country it is,bounceback from the co he has not done a
qqG96G8YdcE_364240,364.24,3.44,immigrants and bounceback jobs a bounceback from the co he has not done a good job he's done a poor job in inflation's killing our country it is absolutely killing us thank you,good job he's done a poor job in
qqG96G8YdcE_365720,365.72,4.28,bounceback from the co he has not done a good job he's done a poor job in inflation's killing our country it is absolutely killing us thank you President Biden well look the greatest,inflation's killing our country it is
qqG96G8YdcE_367680,367.68,4.48,good job he's done a poor job in inflation's killing our country it is absolutely killing us thank you President Biden well look the greatest economy in the world he's the only one,absolutely killing us thank you
qqG96G8YdcE_370000,370.0,3.8,inflation's killing our country it is absolutely killing us thank you President Biden well look the greatest economy in the world he's the only one that thinks that I think I don't know,President Biden well look the greatest
qqG96G8YdcE_372160,372.16,2.84,absolutely killing us thank you President Biden well look the greatest economy in the world he's the only one that thinks that I think I don't know anybody else that thinks he's he the,economy in the world he's the only one
qqG96G8YdcE_373800,373.8,2.76,President Biden well look the greatest economy in the world he's the only one that thinks that I think I don't know anybody else that thinks he's he the greatest economy in the world and you,that thinks that I think I don't know
qqG96G8YdcE_375000,375.0,3.84,economy in the world he's the only one that thinks that I think I don't know anybody else that thinks he's he the greatest economy in the world and you know the fact of the matter is that uh,anybody else that thinks he's he the
qqG96G8YdcE_376560,376.56,4.88,that thinks that I think I don't know anybody else that thinks he's he the greatest economy in the world and you know the fact of the matter is that uh we PR ourselves in a situation where his,greatest economy in the world and you
qqG96G8YdcE_378840,378.84,6.0,anybody else that thinks he's he the greatest economy in the world and you know the fact of the matter is that uh we PR ourselves in a situation where his his economy he rewarded the wealthy he,know the fact of the matter is that uh
qqG96G8YdcE_381440,381.44,6.12,greatest economy in the world and you know the fact of the matter is that uh we PR ourselves in a situation where his his economy he rewarded the wealthy he had the largest tax cut in American,we PR ourselves in a situation where his
