id,context
krbTeO0Lo00_10.0,a third world dictator would do it's a disgrace what's happened to our country in such a short period of time three and a half years what's happened to our country it's not even believable our one chance to save America from these leftwing fascists is less than it's now four months can you believe it I've been saying seven six five it's now we're in between four and five months from now November 5th going to go down as the most important day in the history history of our country I'm telling you because we're not going to have I hope we can get there without ending in a world war you know Russia Russia's got submarines now very nicely in Cuba you know where Cuba is is about two feet away from Florida no they've got chips there and they're talking about you know going after Russia in Ukraine and giving them authorization to go after Russia you know where's this thing going to and I've said it I will get that war s if there's anything left if there's
krbTeO0Lo00_11.0,anything left I'll get it Sol as President elect before I ever get into the White House but we need Christian voters to turn out in the largest numbers ever to tell crooked Joe Biden Joe The Apprentice Joe you're fired you're fired Joe get out of here Joe you're no good you've been the worst president ever you fired Joe get  out no worst president in the history of our country as you know the radical left is trying to shame Christians Silence You demoralize you and they want to keep you out of politics they don't want you to vote that's why you have to vote they're counting on you not because if you vote no we cannot lose they don't want you to vote but Christians cannot afford to sit on the sidelines if Joe Biden gets back in Christianity will not be safe in a nation with no borders no laws no Freedom no future they're not going to be safe you're not going to be safe as a
krbTeO0Lo00_12.0,person and your religion certainly will be I think in tatters you want to know the truth I think in tatters you see what they're doing and and I don't know it's less a little bit less to do with this room but we all care what's going on with Catholics they are being persecuted Catholics what is that all about by this guy this guy this man that has no idea what the hell is happening and by the way I don't believe it is him I think it's the people that surround him the fascist communist the young very smart vicious people because I don't think he knows he's alive if you want to know the truth Okay the reason the radical left will always come after religious Believers is simple because they know that our Allegiance is not to them our Allegiance is not to them our Allegiance is to our country and our Allegiance is to our creator and we do not not answer to the
krbTeO0Lo00_13.0,bureaucrats in Washington we answer to God in heaven you're not even allowed to say that anymore today if you say that they want to arrest you if you say that they want to arrest you who likes the Ten Commandments by the way going up in the schools they think it's such a bad thing I said has anyone read thee Thou shalt not steal Thou shalt I mean has anybody read this incredible stuff it's just incredible they don't want it to go up it's uh crazy world you know a crazy world things who would who would think that somebody would want open borders where people flood in by the millions from all over the world from prisons and from mental institutions and a lot of terrorists terrorists in record numbers nobody said anything like it who would think that's good who would think that you know like a little thing it's so embarrassing even have to say it but I say it because it's a big political deal
krbTeO0Lo00_14.0,who would think that men playing in women's sports is okay who would think that I I have to say it who would think it it's all you know open borders who would think it who would think this stuff but in my first term I defended judeo Christian Heritage like no president in the history of our country and with your help I will continue to fight for our values and our civilization for four more years in the white house we're going to straighten it out we're going to straighten it out fast it's going to go fast uh the hardest thing to do is we have probably close to 20 million people that came in from all parts of the world and uh they're going to have to be uh gone they came in illegally many many people coming in from prisons and mental institutions they came in I mean from you know I say prisons and jails because there is a slight difference I say mental institutions and insane asylums uh because actually there there's more than a slight difference right whenever I say Silence of the Lamb the fake news back there they say oh he's talking about he's talking about Silence of the
krbTeO0Lo00_15.0,lab and I say the late great Hannibal Lea oh he likes Hannibal Lea no they're crazy when I imitate Joe Biden can't get off the stage I walk into a wall purposely I look at that wall oh that's that's perfect sometimes they don't have a wall you're freestanding it doesn't but I imitate him and I I you know walk into a wall and the next day they write Donald Trump could not find his way off the stage no no so I don't even do it anymore it's these are crooked people and yet with him they're trying to say that all of these horrible blunders that he's made over the last week you don't have to go back much that that he was improperly covered so they say you know in the one case he he had a fundraiser and Obama could have been more gentle in all fairness that's I think that's a dispute were in their own party because you know Obama could have been a little bit more gentle than that so instead of tugging him off the stage
krbTeO0Lo00_16.0,when you think of it right but he made it obvious but he made it obvious but you see that and then I think 39 different people had their phones up like you people you have your phones up if I did something wrong and I had one camera then another camera you know after you get 39 or so you say I guess he I guess he blew it but they said oh it was covered so and they you know like they changed it and Ai and all the stuff they didn't do that they didn't do that it was was that was the way it was they're all the same but the Press has bought into it now oh no he was fine it was the coverage was so bad by conservative they say by conservatives uh when I equated uh two people I I equated them I shouldn't mention the names but I equated Nikki Haley with Nancy palassi I equate they said oh he doesn't understand the no I understand the difference he doesn't understand the difference
krbTeO0Lo00_17.0,between Haley and Pelosi no we understand that I understand a lot of differences but anything you do the fake news will take it and turn it but with him they take bad stuff and try to make it look good with us they take genius pure genius and they try and make it look right they try and make it look bad it's the exact opposite so we actually have to work harder I told my kids it would be a lot easier if you were Democrats we have to work very much harder you know we have to run the entire e Coast to win they automatically start with like 38% they start with 38% I mean I could go into why and the percentages but I don't want to do that because I think we're going to get a lot of that 38% you want to know like people in unions not to mention it like people in unions because we have tremendous support from the Yota workers tremendous support from the teamsters and tremendous I've heard so many Teamsters Concrete in New York it's all delivered by Teamsters they do a great job but uh we're going to get we're going to have have a lot of Union support so I'm not going to say anything
krbTeO0Lo00_18.0,just think of what we've already achieved and we've done things that nobody thought possible together we stood up to the Communist Marxist and fascist to defend religious liberty like no other president has ever done and I have the wounds all over my body if I took this shirt off you'd see a beautiful beautiful person but you'd see wounds all over all over me I've taken a lot of wounds I can tell you more than I suspect any president ever you know in history and I've read I love I love this stuff but in history they say Andrew Jackson was treated the worst president Andrew he was a great General and a very good president and Abraham Lincoln was second worst now he had a civil war so you know you saw I think that was
krbTeO0Lo00_19.0,understood and now they're rewriting the books Trump was trated at the worst Andrew Jackson second and Abraham Lincoln third but I definitely took top spot I took stop and I'm honored to do it and here we are looking for more how about that I could right now be home I wouldn't be in court I wouldn't be in courts all over the land all started by crooked Joe Biden and his group of thugs we restored the conscious wrs and all of the things that we've done for doctors nurses teachers and Faith groups like The Little Sisters of the Poor we came to their defense I stopped the IRS from using the Johnson amendment to interfere with pastors freedom of speech and all religious leaders Pastor not only pastors and Joe Biden took it right away and I will give it right back we're going to give it right back you know a long time ago I learned about Johnson Amendment a long time ago they basically taken away
krbTeO0Lo00_20.0,your rights you're not allowed if you're a minister a pastor or other religious leader a rabbi if you want to say things that are political they take away your tax exemptions and they really destroy you and I put that back and now they've put it back it's like a yo-yo I'm going to put it back immediately first day I'm giving that back because we want to hear from our ministers our pastors and our rabbis and others by the way I issued guidance making clear that the right to freedom of worship does not end at the door to a public school I was the first to and I'm the only President I think to convene a meeting at the United Nations to end religious persecution worldwide the only time it's ever been done because you know what presidents that get elected and then they don't want to get involved we don't want to get involved like what I did for Israel as an example right with Jerusalem and every president for many many presidents said we're going to do
krbTeO0Lo00_21.0,that Capital going to make Jerusalem the capital they're going to move the embassy to Jerusalem and nobody did it and I understood why because once I got there I had more pressure put on me from other countries please don't do it please don't do it I did it I did something what many presidents I don't know the number but going back a long time they campaigned on it that it did it I campaigned on it and I did it I I just didn't take thank you very much that's very nice you know what I I didn't take calls for about 4 days I set up the meeting on a Monday and I didn't take calls I was away quote over the we and he'll call you back on Tuesday oh kings queens everybody he'll call you back on Tuesday and we had a press conference on Monday and I announced Jerusalem I announced that we're going to move the embassy and uh Jerusalem comes the capital something and and by
krbTeO0Lo00_22.0,the way uh that's a small one compared to what I did I got rid of the Iran nuclear deal unfortunately Biden yeah but Biden did nothing with it and Golan Heights and the Abraham Accords what I did for Israel and and interestingly this group is so unbelievably pro-israel it's amazing actually and I tell you that because in many ways you give it more support than anybody you give more support to Israel than anybody so a lot of people really appreciate that thank you very much I can use that I can use that love thank you who is a woman she sounded so nice stand up oh thank you thank you it's very nice and you have a beautiful voice too thank you when I return to the White House I will once
krbTeO0Lo00_23.0,again aggressively defend religious freedom in all of its forms it's many forms but we will defend it in every single one of its forms we will protect Christians in our schools in our military in our government and our workplaces in our hospitals and in our Public Square in my next term I will once again appoint a rock solid conservative and we we are putting in you know we put in almost 300 judges and three Supreme Court Justices to interpret the law and the Constitution as written it was being interpreted slightly different than that as you probably noticed in my first four years we totally transformed the federal bench and putting in all of these judges and nobody's ever seen anything like it actually a record Pro Constitution judges I with stod vicious attacks to pick and confirm three great Supreme Court Justices Neil Gorsuch Brett kavanau and Amy Cony be
krbTeO0Lo00_24.0,good people too I took a lot of heat I took a lot of heat a lot of hits but we did the right thing they're great people thanks to these justices we have also achieved what the pro-life movement fought to get for 49 years and we've gotten abortion out of the federal government and back to the state the way everybody and all legal Scholars always said it should be nobody thought that would happen that's why they wanted it the whole thing was they wanted the RO way was Federal and they wanted it all back in the States where the people could vote and make their decisions it's now up to the will of the people in each state some states will be more conservative other states will be more liberal it's happening now you see the votes are all taking place and it's the way every legal scholar and just about all the Democrats and all the Republicans and conservatives and liberals they all wanted it that way and
krbTeO0Lo00_25.0,we did something that was amazing the big problem was it was caught up in the federal government but the people will decide and that's the way it should be the people are now deciding and some states are a little bit more conservative and some states are much more liberal if the radical Democratic streams get their way they will have a federal law for abortion to rip the baby out of the womb in the seventh 8th and 9th month and even execute the baby after birth they have that you know that the governor the governor think of it the governor of Virginia previous governor we have a great governor of Virginia right now but Glenn yunan is doing a great job but the previous governor of Virginia you don't want to make that very clear because he's doing great the previous was not so good but he actually made that St and we'll put the baby down after the babies we'll put that and you you'll decide what to do and there states that allow that they're the
krbTeO0Lo00_26.0,radical ones on this issue Far and Away the radical ones not us every voter has to go with your heart and do what's right but we also have to get elected because we have a lot of other things we have to get elected you have to be able to win like Ronald reag and I believe in exceptions for the life of the mother rape and incest some people do I think most people do actually but some people don't you have to go with your heart but you have to also remember you have to get elected I want to thank the six Supreme Court Justices Clarence Thomas Samuel Halo John Roberts Brett kaver Neil Gorsuch and Amy Cony Barrett for the wisdom and the courage they showed on this long-term very contentious issue this has been a long time it's been fought getting it back to the States puts the question where it belongs with the vote of the people and over time it will all work out it's working out right now but it's all going to work out and it's where everybody wanted it including the legal Scholars but it's where everybody wanted it to be and it's taken
krbTeO0Lo00_27.0,actually they say 49 but it's probably 51 years it's taken to get this done above all in the Republican party we will always support families babies life and uh very very important to the Republican Party by contrast Joe Biden is weaponizing the justice department to viciously persecute pro-life activists and Americans of Faith just last month the Biden doj got Paula harlo a 75-year-old woman in poor health sentenced to two years in prison for singing outside of a CL she was singing actually a beautiful voice she was singing beautifully outside of a clinic and fearing she would die in prison her husband pleaded with the judge for mercy and even asked to be thrown in prison with his wife and the judge judge responded by mocking their religion he
krbTeO0Lo00_28.0,was mocking their religion I wonder who that judge is Paul is one of many peaceful pro-lifers who Joe Biden has rounded up sometimes with SWAT teams and thrown them in jail many people are in jail over this this is just crazy we're going to get that taking care of immediately first day immediately but let's call these Brave Americans what they really are it's persecuted Christians that's what they are they're persecuted because these people are really the threat to democracy you know they have a whole thing about Donald Trump is the threat to democracy I'm the one that got us out of the wars I'm the one that defeated Isis and got us out of all these wars you know I'm the one that had the safest Border in the history of our country and now it's death and you know when you talk about the bad border you don't realize how many people are dying on the Caravans coming up they're dying because they're told you know come on up and we're going to give you education we're
krbTeO0Lo00_29.0,going to give you healthare they're destroying your Social Security your Social Security and your Medicare is being destroyed because millions of people are coming up and you're not going to have it something's going to have to happen because they are destroying Joe Biden is destroying your Social Security and many other things to reverse these monstrous abuses of power the moment I win election and we're going to win we got to win if we don't win we don't have a country we don't have a country you know I used to say it in 2016 and I meant it we were you know I thought that was the most important election in 2020 I didn't say it by the way we got many millions of votes more in 2020 than we did in 2016 we got millions and millions of usot a rigged election but we got millions of votes more I was told if you got the same number 63 million that you win we got millions and millions and that's by their count and it was a terrible thing and look at what's happened to our country and three and a half half years it's not even it's not even the same place it's
krbTeO0Lo00_30.0,not the same place I always say We're a nation in Decline We're a nation in really serious serious decline but we will rapidly review the cases of every political prisoner who's unjustly victimized by the Biden regime including Paula so we can get them out of the gulags and back to their families where they belong Paula just hold on Paula we're going to get you out of there can you imagine this is is a good woman is a religious woman and they throw her in jail I will also create a new federal task force on fighting anti-christian bias its Mission will be to investigate all forms of illegal discrimination harassment persecution against Christians in America and it's taking place at a level that nobody can believe we're like a country from a different country we're like this isn't this is not America anymore that we're living in these people are nasty they're bad they're bad but you know what we're
krbTeO0Lo00_31.0,tougher than they are we're tougher than they are but we have to we have to be smart we have to vote we have to get out and vote you cannot sit home this one day you have to get out and vote never again will the federal government be used to Target religious Believers Americans of Americans of faith and and that's all it is it's Americans of Faith are not a threat to our country Americans of Faith are the soul of our country one of the reasons we have so much crime one of the reasons we have so much crime is you don't have the faith you know you don't have people wanting to be good because they want to go to that special place they want to be good there's no reason it's like religion is it's going down at a level that nobody's seen before nobody's seen anything like it and it's really having an a tremendous effect long beyond our churches and our synagogues and our mosques it's long Beyond it's beyond everything religion
krbTeO0Lo00_32.0,is becoming less and less of a factor less and less important in our country and that's causing a lot of the chaos and a lot of the crime that you see if if they were grown up with religion they wouldn't be doing the things that they're doing because they're doing really bad bad things and we're going to get it stopped the weaponization of law enforcement is the greatest threat to freedom in America today I think and nobody knows it better than me look at the way I've been weaponized I mean they've weaponized me at a level that the late great Al Capone right he's a I tell it all the time Scarface he he didn't go through what I went through of course they were afraid to do it they were afraid to do it they said let's leave him alone wait he would take that gentleman that handsome gentleman right there you'd have to dinner if Al if alons Capone didn't like him your family would never see you again sir they'd say what happened happened to him he's a part of a foundation under a nice
krbTeO0Lo00_33.0,highrise that's going up someplace I got indicted more than him sir for nothing for no crimes even the scholars all of the scholars they said well there is no crime here there's no crime it's it's a terrible thing these are sick people these are horrible people remember this the reason Joe Biden and his thugs are so desperate to stop us is that they know we the only ones who can stop them and that's true all of their persecution is only happening because I am running for president and leading very big in the polls but since the show trial in New York that horrible horrible trial so many corrupt things happened in that trial and I think they're seeing it the people are seeing it because we have the strongest poll numbers we've ever had and I mean that goes back a long time now and uh the po the fundraising is at
krbTeO0Lo00_34.0,levels that I don't think anybody has ever seen before so there's a lot of great a lot of great things and I don't know if you saw last night in the new Ras mus poll we're leading Biden by numbers that uh people haven't led by before Biden is 10 points down National that's nationally and we're doing even better in the swing States the radical left Democrats rigged the presidential election in 2020 and we're not going to allow them to rig the presidential election in 2024 we're not going to allow it and every time the radical left Democrats marxists Communists and fascists and that's exactly what they are they're fascists indict me I consider it a great badge of honor because I'm being indicted for you thank you very much everybody I appreciate
krbTeO0Lo00_35.0,but I am I'm being indicted for you never forget our enemies want to take away my freedom because I will never let them take away your freedom they want to silence me because I will never let them silence you and in the end they're not after me they're after you I just happen to be very proudly standing in their way I am in their way and I always will be in their  way from the very first day that we take back the White House from crooked Joe Biden and his thugs I believe we're going to have four of the greatest years in the history of our country it's going to happen fast within moments of taking the oath of office I will seal the Border Stop The Invasion and send Joe Biden's illegal aliens back home where they belong they belong back home  US
krbTeO0Lo00_36.0,USA USA USA don't give me any of that USA go out and vote that's all I ask don't say USA USA we love Trump USA and then November 5th comes along or any of the previous days you know the early voting but and then you say darling I just don't I'm just a little tired I think I'll skip the vote you can't do that you got to vote no USA right now you just go out and vote then we'll go USA because then we're going to make our country great again Biden is releasing criminals to pray in our people that's what's happening thank you got to get out and vote right see this beautiful group of people they'll be in they'll be in Monte Carlo and November 5th I don't think so we all know the names of too many innocent victims Biden migrant crime it's a new category of crime it's called
krbTeO0Lo00_37.0,Biden migrant crime remember this these migrants are tough they're tough they come from prisons and and many other places rough places they're just getting used to our country they're just settling in every day I read where somebody was killed beautiful young women mostly young women are being killed by migrants you know they thought it was like this wonderful dream I could just see they oh the migrants are coming in these people are tough I they're so tough Dana White did anyone ever hear of Dana White he's a legend right UFC Ultimate Fighter Ultimate Fighting and he has he's a fantastic man I said Dana I have an idea why don't you set up a migrant League of Fighters and have your regular League of Fighters and then you have the champion of your league these are the greatest fighters in the world fight the champion of the migrants I think the migrant guy might win that's how tough they are he didn't like that idea too much
krbTeO0Lo00_38.0,but actually not the worst idea I've ever had no it's uh these are tough people these people are tough and they're nasty mean it's a it's incredible that they come totally unchecked but we all know the names of too many innocent victims of the Biden migrant crime Lake and Riley and you know uh Biden was unable to pronounce her name called called her Lincoln Riley and this was right after how terrible is that though Rachel Moren who I just spoke to the mother is so great I also met the parents of of uh I met the parents of many of the people that died met the parents of the soldiers that died so horribly in Afghanistan but uh I met lakens lak's parents and these are just incredible people their lives I
krbTeO0Lo00_39.0,don't know what they're going to do their lives have been shattered nothing worse than that it's so uh it's so out of order it's so out of order just the the devastation I spoke yesterday with Patricia and uh it's just just to uh hear her talk it's just I don't know I don't know if you recover from it they say time time time uh it should never happen would have never happened with us we had a strong border we had the strongest Border in history and just this week 12-year-old josin nurri found strangled to death and dumped in a Creek in Houston allegedly murdered by two recent illegal border crossers from Venezuela viciously murdered these monsters should never have been in our country and if I were president they would not have been in our country we had a strong border we had strong protection and we had very strong protection you know in Venezuela we just mentioned
krbTeO0Lo00_40.0,these monsters from Venezuela in Venezuela their crime is down 72% can you believe it so I'm going to talk to Ralph Reed and next year we're going to hold faith and freedom in Venezuela where we can be safe Ralph can we do that Ralph yes Ralph said yes no no think of it they're sending all their Killers their murderers their prisoners they're sending drug dealers gang Lords gangs they're sending them to the United States we're like a Dumping Ground and that's the whole world not just Venezuela and you take a look at prison population all over the world it's way down everyone says I wonder why it's not because they're behaving because they're sending them into our country and again they're just getting comfortable now they're going to start hitting us very hard these people are bad and that this can be to happen we have an incompetent President we have a president who's got
krbTeO0Lo00_41.0,a very low IQ he and that was in good times that was 25 years ago today today he doesn't even register it's ridiculous when they say he gets I have a friend he's a Democrat but he's not he's a Democrat can't help it that's the way he grew up but he said to me I I don't understand it you got a poll saying you're up 10 points how could you only be up 10 points I say that too how who the hell is going to vote for this  guy on day one I will begin the largest deportation operation in American history Biden's border invasion is also a grave threat to and as I said Medicare and Social Security is under it's under watch Biden wants to dump millions of illegal aliens into and onto Medicare and put them into Social Security and
krbTeO0Lo00_42.0,even Obamacare and suck these programs dry that's what they're going to do and you're going to have a problem and you're going to all of a sudden they're going to say we're going to cut it in half I'm not touching them I'm leaving them where they are you are going to see Social Security if he gets elected he's going down the tubes I can't even imagine him being El can you imagine four more years these are the worst these are the worst four years as president and I will fight for American seniors not the Biden illegals I will fight for American workers not the human traffickers I will fight for American dreamers not the child Smugglers and I will restore The Sovereign borders of the United States of America so help me God you know they don't want you to say so help me God you know that it's under sieg right so help me God have you said so help me we don't want you to say that how about in God we
krbTeO0Lo00_43.0,trust they want it taken down how about George Washington High School we want the name removed from that high school they don't know why they you know they thought he had slaves actually I think he probably didn't you know but anybody anybody that was uh I mean it's just like incredible changing the name of we won World Wars from those forts Fort Brag for I mean so many of the forts we won World Wars we dominated we saved the world with from those Forts and now they decide to take the names off and where do you see ultimately what happens with those names they did I call it a transition like transitioning they have a transition name before they name it the Reverend Al Sharpton fort fort fort ra Fort Al Sharpton now you can just you can just imagine
krbTeO0Lo00_44.0,you can just imagine but this is a transition they've done a couple of transitions these people are they don't they're sick they're sick as president I will not cut one penny from Social Security or Medicare I kept that promise for four straight years and I will keep it again by contrast Joe Biden has cut Medicare Advantage payments you don't even know this for two straight years a total betrayal of seniors senior citizens he's cut your advantage payments for two years and nobody knows it and the seniors have to get on board because I'll tell you what they're being treated badly the military is being treated badly our vets are being treated the worst of all how about our vets they're laying in streets you know I had the highest approval rating for a president ever with the Veterans Administration now it's one of the low lest what I did was incredible like no long Waits if you
krbTeO0Lo00_45.0,"have to wait a long time you go get a private doctor we pay for it people were waiting 3 four months to get people were becoming terminally ill waiting also firing civil service and other workers that were sadists and Crooks but they were sadus they were beating up our soldiers in their not prime time in prime time they wouldn't be able to do it they get their ass handed to them right but they were not doing it in think of it they were not uh uh they were not treating our soldiers right and I got it and you couldn't fire them because under civil service was you cannot fire anybody they had one in Arizona they caught him stealing $400,000 they caught him called he admitted everything they couldn't fire him they could do everything but they couldn't fire him stole $400,000 but they were beating up or so they were sadists and I got the right to fire through Congress it had to go through Congress both of them had to go through Congress Joyce Choice had to go through Congress so we got them Choice"
krbTeO0Lo00_46.0,all right we and I'll tell you the number of people that were saved I got the highest rating ever 92% think of this so now it's down to 40% they ended all of this stuff why would they end it they hate our country and they hate our military they hate our veterans they hate our soldiers Biden and they made up a story about me with suckers and losers they made up the story about me looking down at graves saying sucker they make it up suckers and losers who would surrounded by military people there's nobody that's stupid enough to make that statement think of it and I was President I would have said that would have been uh Justified for somebody to start taking swings at me as president but they made it up it's a phrase that was totally made up by a third rate magazine that's going out of business losing a fortune I think it was the Atlantic a magazine that nobody reads they got lucky they got some sucker to
krbTeO0Lo00_47.0,fund it for a little while some stupid sucker her husband's looking down her former husband is looking down he's saying you dumb I should have never she took his money and she said the Atlantic magazine let's let's waste millions of dollars but no they made it up and you know you say it's not true but does 10% 5% of military people believe it this is what we have to live with it's horrible who would say it just think of it who would say that about even if you hated the military you wouldn't say it and you wouldn't certainly say it to military people so just just just from a common standpoint but that thing's haunted me for three years for three years I'll never forget I walk out of a big rally everything was great it was unbelievable and some of the fake news over there one of them so sir did you call the the dead the dead military suckers and before I even responded I said here we go cuz who would do such a thing and I'm
krbTeO0Lo00_48.0,the exact I rebuilt our military I was better than any president ever to our amican they'll say anything just like they try and now say with Biden with cheap fakes or whatever they call just what they they made up a name they're saying he was perfect all these things when he sat down because of he had obviously a problem in Normandy do you think do you think that mcon was impressed macron's An Elegant guy smart he's at the top of his game I don't think he was too impressed but just like the other day as I said with Obama or any one of the other times oh it was fake reporting by the conservative media it wasn't fake reporting it was it was just there it was just there but they made up a suckers and losers statement so terrible and my stupid people when I wanted to refute it they said sir
krbTeO0Lo00_49.0,don't dignify it with a refle refal or refle what the hell word would that be refal what you say he didn't know refal or refal but they don't know either sir it should not be dignified sir I said well I got to fight that that's a the worst thing you could probably say to me would be that he said sir it's going nowhere 3 years later it still simmers and you know what anybody in the mil oh now I fight I talk about it all the time because it doesn't make sense nobody could say a thing like you can't even if you hated the military you couldn't say that because it would be it would actually be dangerous it would be it would be so bad nobody would say that uh and uh so now I speak about it all the time because these people are liars they make it up it's now on top of that you have ai on top of that you now have ai to go along with that so it's a it's sort of a dangerous world out there on
krbTeO0Lo00_50.0,"day one we will throw out bomic and replace it with Magics quickly under Biden the economy is in Ruins inflation has costed the typical family $288,000 think of that the inflation is killing people they make the same amount of money or even if they made more it doesn't matter inflation is destroying them they can't buy anything anymore I will end I always say you know I I sort of have this little thing I shouldn't show it maybe I should save it for the debate okay look I'll save it I'm going to do this because this is private there's only about 400 press back there look inflation this is what it does to you this is Tic Tac now this is Tic Tac see it used to be"
